framework,dataset,tier,f1,auc,rmse,time_sec,peak_ram_mb,cpu_pct,status
flaml,titanic,constrained,0.7812,0.8165,,60.4,221.1,161.1,completed
flaml,wine_quality,constrained,0.6657,,,60.4,279.4,177.2,completed
flaml,ames_housing,constrained,,,24180.2311,61.0,300.0,186.0,completed
flaml,california_housing,constrained,,,44520.2754,62.5,276.0,189.0,completed
flaml,bank_marketing,constrained,0.9127,0.9501,,60.5,308.4,186.6,completed
flaml,adult,constrained,0.8643,0.9298,,61.8,429.3,192.1,completed
flaml,credit_fraud,constrained,0.9990,0.9582,,61.8,706.1,144.8,completed
flaml,titanic,moderate,0.7727,0.8461,,120.3,223.5,330.4,completed
flaml,wine_quality,moderate,0.6682,,,120.8,296.6,362.9,completed
flaml,ames_housing,moderate,,,25404.7663,120.6,264.4,346.2,completed
flaml,california_housing,moderate,,,45617.8463,123.3,321.1,370.9,completed
flaml,bank_marketing,moderate,0.9125,0.9472,,120.4,382.4,347.3,completed
flaml,adult,moderate,0.8643,0.9298,,121.0,542.6,369.8,completed
flaml,credit_fraud,moderate,0.9990,0.9582,,121.5,769.7,222.4,completed
flaml,titanic,unconstrained,0.8052,0.8335,,240.3,225.2,340.3,completed
flaml,wine_quality,unconstrained,0.6921,,,243.8,1153.3,322.5,completed
flaml,ames_housing,unconstrained,,,23678.5952,240.5,305.5,355.8,completed
flaml,california_housing,unconstrained,,,45552.5526,245.4,494.1,382.8,completed
flaml,bank_marketing,unconstrained,0.9125,0.9472,,240.8,456.3,290.5,completed
flaml,adult,unconstrained,0.8758,0.9315,,241.0,426.8,357.2,completed
flaml,credit_fraud,unconstrained,0.9995,0.9721,,241.0,797.5,332.5,completed
pycaret,titanic,constrained,0.7695,0.7458,,15.2,757.5,44.2,completed
pycaret,ames_housing,constrained,,,26682.3435,71.3,820.2,22.6,completed
pycaret,california_housing,constrained,,,50293.4457,69.2,1055.2,19.4,completed
pycaret,bank_marketing,constrained,0.9128,0.9477,,76.1,1038.9,16.0,completed
pycaret,adult,constrained,0.8602,0.9174,,69.1,1223.5,12.4,completed
pycaret,credit_fraud,constrained,0.9992,0.9465,,167.9,1312.0,22.5,completed
pycaret,titanic,moderate,0.7695,0.7458,,229.4,1206.2,2.1,completed
